TOTAL_REVENUE,NUMBER_OF_UNITS_SOLD,NUMBER_OF_SALES,UNITS_SOLD,HOUR_OF_DAY,DAY_OF_WEEK,TIME_BUCKET,PRODUCT_DETAIL,PRODUCT_TYPE,STORE_LOCATION,PRODUCT_CATEGORY
35.70,14,8,14,09,Sun,morning,Spicy Eye Opener Chai Rg,Brewed Chai tea,Lower Manhattan,Tea
24.00,8,8,8,09,Sun,morning,Oatmeal Scone,Scone,Lower Manhattan,Bakery
99.00,33,19,33,09,Sun,morning,Serenity Green Tea Lg,Brewed Green tea,Lower Manhattan,Tea
93.00,31,18,31,09,Sun,morning,Lemon Grass Lg,Brewed herbal tea,Lower Manhattan,Tea
187.00,44,27,44,09,Sun,morning,Cappuccino Lg,Barista Espresso,Hell's Kitchen,Coffee
131.75,31,20,31,09,Sun,morning,Cappuccino Lg,Barista Espresso,Lower Manhattan,Coffee
60.00,20,13,20,09,Sun,morning,Our Old Time Diner Blend Lg,Drip coffee,Lower Manhattan,Coffee
42.25,13,13,13,09,Sun,morning,Hazelnut Biscotti,Biscotti,Lower Manhattan,Bakery
81.25,25,21,25,09,Sun,morning,Ginger Scone,Scone,Hell's Kitchen,Bakery
57.00,19,11,19,10,Sun,morning,Ethiopia Rg,Gourmet brewed coffee,Lower Manhattan,Coffee
42.50,17,9,17,10,Sun,morning,Our Old Time Diner Blend Rg,Drip coffee,Lower Manhattan,Coffee
30.06,9,9,9,10,Sun,morning,Cranberry Scone,Scone,Lower Manhattan,Bakery
97.50,26,14,26,10,Sun,morning,Jamaican Coffee River Lg,Premium brewed coffee,Lower Manhattan,Coffee
22.50,6,5,6,12,Sun,afternoon,Jamaican Coffee River Lg,Premium brewed coffee,Hell's Kitchen,Coffee
28.05,11,7,11,12,Sun,afternoon,Spicy Eye Opener Chai Rg,Brewed Chai tea,Lower Manhattan,Tea
38.50,11,7,11,08,Sun,morning,Ethiopia Lg,Gourmet brewed coffee,Hell's Kitchen,Coffee
70.00,20,20,20,08,Sun,morning,Chocolate Chip Biscotti,Biscotti,Lower Manhattan,Bakery
105.94,28,28,28,08,Sun,morning,Chocolate Croissant,Pastry,Lower Manhattan,Bakery
150.00,40,25,40,08,Sun,morning,Latte,Barista Espresso,Hell's Kitchen,Coffee
47.26,10,10,10,09,Sun,morning,Scottish Cream Scone ,Scone,Lower Manhattan,Bakery
111.00,37,23,37,09,Sun,morning,Ethiopia Rg,Gourmet brewed coffee,Hell's Kitchen,Coffee
87.00,29,18,29,09,Sun,morning,Traditional Blend Chai Lg,Brewed Chai tea,Hell's Kitchen,Tea
108.00,36,24,36,10,Sun,morning,Serenity Green Tea Lg,Brewed Green tea,Hell's Kitchen,Tea
101.25,27,17,27,10,Sun,morning,Sustainably Grown Organic Rg,Hot chocolate,Hell's Kitchen,Drinking Chocolate
48.75,13,13,13,10,Sun,morning,Almond Croissant,Pastry,Hell's Kitchen,Bakery
54.00,18,11,18,11,Sun,morning,Serenity Green Tea Lg,Brewed Green tea,Lower Manhattan,Tea
26.25,7,7,7,11,Sun,morning,Jumbo Savory Scone,Scone,Astoria,Bakery
65.10,21,13,21,11,Sun,morning,Jamaican Coffee River Rg,Premium brewed coffee,Hell's Kitchen,Coffee
42.00,14,10,14,12,Sun,afternoon,English Breakfast Lg,Brewed Black tea,Astoria,Tea
17.50,5,5,5,12,Sun,afternoon,Croissant,Pastry,Lower Manhattan,Bakery
48.45,19,12,19,08,Sun,morning,Spicy Eye Opener Chai Rg,Brewed Chai tea,Lower Manhattan,Tea
90.00,30,19,30,08,Sun,morning,Peppermint Lg,Brewed herbal tea,Lower Manhattan,Tea
50.00,20,12,20,09,Sun,morning,Our Old Time Diner Blend Rg,Drip coffee,Hell's Kitchen,Coffee
70.00,28,19,28,09,Sun,morning,Serenity Green Tea Rg,Brewed Green tea,Hell's Kitchen,Tea
90.00,24,17,24,09,Sun,morning,Latte,Barista Espresso,Lower Manhattan,Coffee
60.00,24,16,24,09,Sun,morning,Morning Sunrise Chai Rg,Brewed Chai tea,Lower Manhattan,Tea
63.00,21,13,21,09,Sun,morning,Espresso shot,Barista Espresso,Lower Manhattan,Coffee
110.00,44,29,44,09,Sun,morning,Earl Grey Rg,Brewed Black tea,Lower Manhattan,Tea
75.00,25,18,25,09,Sun,morning,Serenity Green Tea Lg,Brewed Green tea,Hell's Kitchen,Tea
123.75,33,22,33,10,Sun,morning,Jamaican Coffee River Lg,Premium brewed coffee,Hell's Kitchen,Coffee
84.00,24,17,24,10,Sun,morning,Dark chocolate Rg,Hot chocolate,Lower Manhattan,Drinking Chocolate
103.50,23,14,23,10,Sun,morning,Dark chocolate Lg,Hot chocolate,Lower Manhattan,Drinking Chocolate
36.00,12,9,12,10,Sun,morning,Earl Grey Lg,Brewed Black tea,Hell's Kitchen,Tea
101.25,27,19,27,10,Sun,morning,Latte,Barista Espresso,Lower Manhattan,Coffee
32.00,16,11,16,11,Sun,morning,Our Old Time Diner Blend Sm,Drip coffee,Astoria,Coffee
24.50,7,7,7,11,Sun,morning,Croissant,Pastry,Astoria,Bakery
39.00,13,9,13,11,Sun,morning,Lemon Grass Lg,Brewed herbal tea,Astoria,Tea
15.40,7,5,7,11,Sun,morning,Ethiopia Sm,Gourmet brewed coffee,Hell's Kitchen,Coffee
45.00,10,10,10,11,Sun,morning,Scottish Cream Scone ,Scone,Hell's Kitchen,Bakery
52.50,21,15,21,11,Sun,morning,Earl Grey Rg,Brewed Black tea,Hell's Kitchen,Tea
55.80,18,11,18,12,Sun,afternoon,Jamaican Coffee River Rg,Premium brewed coffee,Astoria,Coffee
84.00,28,16,28,08,Sun,morning,Brazilian Rg,Organic brewed coffee,Lower Manhattan,Coffee
120.00,32,22,32,09,Sun,morning,Cappuccino,Barista Espresso,Hell's Kitchen,Coffee
55.00,25,16,25,09,Sun,morning,Brazilian Sm,Organic brewed coffee,Lower Manhattan,Coffee
184.50,41,27,41,09,Sun,morning,Dark chocolate Lg,Hot chocolate,Hell's Kitchen,Drinking Chocolate
86.25,23,15,23,09,Sun,morning,Jamaican Coffee River Lg,Premium brewed coffee,Hell's Kitchen,Coffee
84.00,28,20,28,09,Sun,morning,Peppermint Lg,Brewed herbal tea,Lower Manhattan,Tea
52.50,14,14,14,09,Sun,morning,Jumbo Savory Scone,Scone,Lower Manhattan,Bakery
80.00,32,17,32,09,Sun,morning,Our Old Time Diner Blend Rg,Drip coffee,Lower Manhattan,Coffee
66.00,22,15,22,10,Sun,morning,Brazilian Rg,Organic brewed coffee,Lower Manhattan,Coffee
93.75,25,25,25,10,Sun,morning,Chocolate Croissant,Pastry,Lower Manhattan,Bakery
70.40,32,16,32,10,Sun,morning,Brazilian Sm,Organic brewed coffee,Lower Manhattan,Coffee
95.00,20,15,20,10,Sun,morning,Sustainably Grown Organic Lg,Hot chocolate,Lower Manhattan,Drinking Chocolate
42.00,14,10,14,10,Sun,morning,Serenity Green Tea Lg,Brewed Green tea,Lower Manhattan,Tea
42.88,12,12,12,10,Sun,morning,Chocolate Chip Biscotti,Biscotti,Lower Manhattan,Bakery
67.50,18,13,18,11,Sun,morning,Latte,Barista Espresso,Astoria,Coffee
85.00,20,13,20,11,Sun,morning,Latte Rg,Barista Espresso,Hell's Kitchen,Coffee
18.00,6,4,6,11,Sun,morning,Serenity Green Tea Lg,Brewed Green tea,Astoria,Tea
45.00,15,9,15,11,Sun,morning,Peppermint Lg,Brewed herbal tea,Astoria,Tea
48.75,13,10,13,11,Sun,morning,Sustainably Grown Organic Rg,Hot chocolate,Astoria,Drinking Chocolate
18.75,5,4,5,11,Sun,morning,Sustainably Grown Organic Rg,Hot chocolate,Lower Manhattan,Drinking Chocolate
9.00,3,3,3,11,Sun,morning,Oatmeal Scone,Scone,Lower Manhattan,Bakery
42.00,14,9,14,11,Sun,morning,English Breakfast Lg,Brewed Black tea,Astoria,Tea
45.00,15,11,15,11,Sun,morning,Our Old Time Diner Blend Lg,Drip coffee,Hell's Kitchen,Coffee
22.50,9,6,9,11,Sun,morning,Morning Sunrise Chai Rg,Brewed Chai tea,Lower Manhattan,Tea
33.75,9,9,9,11,Sun,morning,Chocolate Croissant,Pastry,Lower Manhattan,Bakery
55.25,17,17,17,11,Sun,morning,Ginger Scone,Scone,Hell's Kitchen,Bakery
48.75,13,8,13,11,Sun,morning,Jamaican Coffee River Lg,Premium brewed coffee,Astoria,Coffee
70.00,20,12,20,11,Sun,morning,Ethiopia Lg,Gourmet brewed coffee,Hell's Kitchen,Coffee
46.50,15,8,15,11,Sun,morning,Spicy Eye Opener Chai Lg,Brewed Chai tea,Lower Manhattan,Tea
30.00,10,6,10,11,Sun,morning,Espresso shot,Barista Espresso,Astoria,Coffee
52.50,15,10,15,12,Sun,afternoon,Brazilian Lg,Organic brewed coffee,Hell's Kitchen,Coffee
36.00,12,7,12,12,Sun,afternoon,Lemon Grass Lg,Brewed herbal tea,Lower Manhattan,Tea
35.00,14,9,14,12,Sun,afternoon,Morning Sunrise Chai Rg,Brewed Chai tea,Astoria,Tea
52.50,21,14,21,12,Sun,afternoon,Columbian Medium Roast Rg,Gourmet brewed coffee,Astoria,Coffee
33.00,11,8,11,12,Sun,afternoon,Traditional Blend Chai Lg,Brewed Chai tea,Astoria,Tea
15.00,5,4,5,12,Sun,afternoon,Columbian Medium Roast Lg,Gourmet brewed coffee,Hell's Kitchen,Coffee
66.50,14,8,14,12,Sun,afternoon,Sustainably Grown Organic Lg,Hot chocolate,Lower Manhattan,Drinking Chocolate
6.50,2,2,2,12,Sun,afternoon,Ginger Scone,Scone,Lower Manhattan,Bakery
67.50,27,20,27,09,Sun,morning,Peppermint Rg,Brewed herbal tea,Lower Manhattan,Tea
77.50,31,20,31,09,Sun,morning,English Breakfast Rg,Brewed Black tea,Lower Manhattan,Tea
73.50,30,16,30,09,Sun,morning,Jamaican Coffee River Sm,Premium brewed coffee,Lower Manhattan,Coffee
105.00,35,22,35,10,Sun,morning,Ethiopia Rg,Gourmet brewed coffee,Hell's Kitchen,Coffee
68.85,27,19,27,10,Sun,morning,Spicy Eye Opener Chai Rg,Brewed Chai tea,Hell's Kitchen,Tea
35.00,10,10,10,10,Sun,morning,Ginger Biscotti,Biscotti,Lower Manhattan,Bakery
72.50,29,18,29,10,Sun,morning,Our Old Time Diner Blend Rg,Drip coffee,Hell's Kitchen,Coffee
48.00,16,9,16,11,Sun,morning,Earl Grey Lg,Brewed Black tea,Hell's Kitchen,Tea
45.00,18,13,18,11,Sun,morning,Serenity Green Tea Rg,Brewed Green tea,Astoria,Tea
55.00,22,15,22,11,Sun,morning,Morning Sunrise Chai Rg,Brewed Chai tea,Hell's Kitchen,Tea
54.00,18,11,18,11,Sun,morning,Earl Grey Lg,Brewed Black tea,Lower Manhattan,Tea
60.00,24,15,24,11,Sun,morning,Our Old Time Diner Blend Rg,Drip coffee,Hell's Kitchen,Coffee
32.75,11,9,11,11,Sun,morning,Ginger Scone,Scone,Lower Manhattan,Bakery
24.20,11,7,11,11,Sun,morning,Brazilian Sm,Organic brewed coffee,Astoria,Coffee
63.00,21,15,21,11,Sun,morning,Columbian Medium Roast Lg,Gourmet brewed coffee,Astoria,Coffee
54.00,18,11,18,11,Sun,morning,Peppermint Lg,Brewed herbal tea,Lower Manhattan,Tea
52.50,21,14,21,11,Sun,morning,Earl Grey Rg,Brewed Black tea,Astoria,Tea
18.00,6,5,6,12,Sun,afternoon,Serenity Green Tea Lg,Brewed Green tea,Hell's Kitchen,Tea
42.50,17,12,17,12,Sun,afternoon,Peppermint Rg,Brewed herbal tea,Astoria,Tea
45.00,18,12,18,12,Sun,afternoon,Earl Grey Rg,Brewed Black tea,Hell's Kitchen,Tea
33.00,15,11,15,12,Sun,afternoon,Ethiopia Sm,Gourmet brewed coffee,Lower Manhattan,Coffee
37.50,10,8,10,12,Sun,afternoon,Sustainably Grown Organic Rg,Hot chocolate,Hell's Kitchen,Drinking Chocolate
28.00,8,5,8,11,Sun,morning,Ethiopia Lg,Gourmet brewed coffee,Astoria,Coffee
45.00,12,9,12,12,Sun,afternoon,Latte,Barista Espresso,Lower Manhattan,Coffee
112.50,25,16,25,12,Sun,afternoon,Dark chocolate Lg,Hot chocolate,Astoria,Drinking Chocolate
51.00,17,10,17,12,Sun,afternoon,Espresso shot,Barista Espresso,Hell's Kitchen,Coffee
46.50,15,9,15,12,Sun,afternoon,Spicy Eye Opener Chai Lg,Brewed Chai tea,Lower Manhattan,Tea
33.00,11,7,11,13,Sun,afternoon,Columbian Medium Roast Lg,Gourmet brewed coffee,Lower Manhattan,Coffee
36.00,12,8,12,13,Sun,afternoon,English Breakfast Lg,Brewed Black tea,Hell's Kitchen,Tea
24.20,11,7,11,13,Sun,afternoon,Brazilian Sm,Organic brewed coffee,Hell's Kitchen,Coffee
37.50,15,12,15,13,Sun,afternoon,Morning Sunrise Chai Rg,Brewed Chai tea,Hell's Kitchen,Tea
70.00,20,14,20,13,Sun,afternoon,Dark chocolate Rg,Hot chocolate,Astoria,Drinking Chocolate
71.25,19,13,19,13,Sun,afternoon,Sustainably Grown Organic Rg,Hot chocolate,Lower Manhattan,Drinking Chocolate
52.50,21,14,21,13,Sun,afternoon,Serenity Green Tea Rg,Brewed Green tea,Astoria,Tea
42.00,21,13,21,13,Sun,afternoon,Columbian Medium Roast Sm,Gourmet brewed coffee,Astoria,Coffee
57.50,23,15,23,13,Sun,afternoon,Morning Sunrise Chai Rg,Brewed Chai tea,Astoria,Tea
25.00,10,7,10,13,Sun,afternoon,Traditional Blend Chai Rg,Brewed Chai tea,Lower Manhattan,Tea
87.50,25,16,25,08,Sun,morning,Brazilian Lg,Organic brewed coffee,Lower Manhattan,Coffee
59.50,17,17,17,09,Sun,morning,Ginger Biscotti,Biscotti,Hell's Kitchen,Bakery
71.30,23,14,23,09,Sun,morning,Jamaican Coffee River Rg,Premium brewed coffee,Hell's Kitchen,Coffee
64.00,32,24,32,09,Sun,morning,Our Old Time Diner Blend Sm,Drip coffee,Hell's Kitchen,Coffee
60.00,24,18,24,10,Sun,morning,Morning Sunrise Chai Rg,Brewed Chai tea,Hell's Kitchen,Tea
72.25,17,13,17,10,Sun,morning,Cappuccino Lg,Barista Espresso,Hell's Kitchen,Coffee
114.70,37,21,37,10,Sun,morning,Jamaican Coffee River Rg,Premium brewed coffee,Lower Manhattan,Coffee
21.00,6,6,6,11,Sun,morning,Croissant,Pastry,Lower Manhattan,Bakery
81.00,18,12,18,11,Sun,morning,Dark chocolate Lg,Hot chocolate,Astoria,Drinking Chocolate
48.75,13,6,13,11,Sun,morning,Cappuccino,Barista Espresso,Lower Manhattan,Coffee
25.00,10,7,10,11,Sun,morning,Peppermint Rg,Brewed herbal tea,Hell's Kitchen,Tea
38.25,15,7,15,11,Sun,morning,Spicy Eye Opener Chai Rg,Brewed Chai tea,Lower Manhattan,Tea
62.50,25,17,25,11,Sun,morning,Traditional Blend Chai Rg,Brewed Chai tea,Astoria,Tea
26.25,7,6,7,11,Sun,morning,Latte,Barista Espresso,Lower Manhattan,Coffee
45.00,15,9,15,11,Sun,morning,Brazilian Rg,Organic brewed coffee,Astoria,Coffee
17.50,5,5,5,12,Sun,afternoon,Croissant,Pastry,Astoria,Bakery
42.50,17,13,17,12,Sun,afternoon,Traditional Blend Chai Rg,Brewed Chai tea,Astoria,Tea
17.50,7,5,7,12,Sun,afternoon,Serenity Green Tea Rg,Brewed Green tea,Lower Manhattan,Tea
39.00,13,9,13,12,Sun,afternoon,Our Old Time Diner Blend Lg,Drip coffee,Hell's Kitchen,Coffee
24.80,8,5,8,12,Sun,afternoon,Jamaican Coffee River Rg,Premium brewed coffee,Hell's Kitchen,Coffee
45.00,15,11,15,12,Sun,afternoon,Our Old Time Diner Blend Lg,Drip coffee,Astoria,Coffee
80.75,19,12,19,12,Sun,afternoon,Cappuccino Lg,Barista Espresso,Lower Manhattan,Coffee
37.50,10,7,10,12,Sun,afternoon,Latte,Barista Espresso,Hell's Kitchen,Coffee
36.00,12,8,12,12,Sun,afternoon,English Breakfast Lg,Brewed Black tea,Hell's Kitchen,Tea
61.20,24,16,24,12,Sun,afternoon,Spicy Eye Opener Chai Rg,Brewed Chai tea,Astoria,Tea
27.50,11,7,11,12,Sun,afternoon,Our Old Time Diner Blend Rg,Drip coffee,Astoria,Coffee
56.00,16,11,16,12,Sun,afternoon,Ethiopia Lg,Gourmet brewed coffee,Astoria,Coffee
97.50,26,16,26,12,Sun,afternoon,Latte,Barista Espresso,Astoria,Coffee
48.00,16,10,16,12,Sun,afternoon,Ethiopia Rg,Gourmet brewed coffee,Astoria,Coffee
30.00,10,8,10,12,Sun,afternoon,Traditional Blend Chai Lg,Brewed Chai tea,Hell's Kitchen,Tea
25.00,10,6,10,12,Sun,afternoon,Columbian Medium Roast Rg,Gourmet brewed coffee,Hell's Kitchen,Coffee
30.00,10,7,10,12,Sun,afternoon,Peppermint Lg,Brewed herbal tea,Hell's Kitchen,Tea
36.00,12,9,12,12,Sun,afternoon,Brazilian Rg,Organic brewed coffee,Hell's Kitchen,Coffee
52.25,11,8,11,12,Sun,afternoon,Sustainably Grown Organic Lg,Hot chocolate,Astoria,Drinking Chocolate
51.00,17,11,17,12,Sun,afternoon,Serenity Green Tea Lg,Brewed Green tea,Astoria,Tea
55.00,25,15,25,13,Sun,afternoon,Brazilian Sm,Organic brewed coffee,Lower Manhattan,Coffee
36.00,12,8,12,13,Sun,afternoon,Brazilian Rg,Organic brewed coffee,Hell's Kitchen,Coffee
66.00,22,15,22,13,Sun,afternoon,Lemon Grass Lg,Brewed herbal tea,Astoria,Tea
20.00,10,8,10,13,Sun,afternoon,Our Old Time Diner Blend Sm,Drip coffee,Astoria,Coffee
43.40,14,10,14,13,Sun,afternoon,Jamaican Coffee River Rg,Premium brewed coffee,Astoria,Coffee
40.00,10,7,10,13,Sun,afternoon,Morning Sunrise Chai Lg,Brewed Chai tea,Astoria,Tea
56.00,14,10,14,13,Sun,afternoon,Morning Sunrise Chai Lg,Brewed Chai tea,Hell's Kitchen,Tea
30.00,12,9,12,13,Sun,afternoon,Our Old Time Diner Blend Rg,Drip coffee,Astoria,Coffee
28.60,13,8,13,13,Sun,afternoon,Ethiopia Sm,Gourmet brewed coffee,Hell's Kitchen,Coffee
52.50,21,15,21,13,Sun,afternoon,Our Old Time Diner Blend Rg,Drip coffee,Lower Manhattan,Coffee
37.40,17,9,17,13,Sun,afternoon,Ethiopia Sm,Gourmet brewed coffee,Lower Manhattan,Coffee
29.10,10,6,10,13,Sun,afternoon,Ouro Brasileiro shot,Barista Espresso,Lower Manhattan,Coffee
45.50,13,8,13,13,Sun,afternoon,Brazilian Lg,Organic brewed coffee,Hell's Kitchen,Coffee
78.75,21,14,21,13,Sun,afternoon,Cappuccino,Barista Espresso,Hell's Kitchen,Coffee
39.00,13,9,13,13,Sun,afternoon,Earl Grey Lg,Brewed Black tea,Lower Manhattan,Tea
40.00,16,11,16,13,Sun,afternoon,Lemon Grass Rg,Brewed herbal tea,Astoria,Tea
26.25,7,6,7,13,Sun,afternoon,Jamaican Coffee River Lg,Premium brewed coffee,Lower Manhattan,Coffee
44.00,22,14,22,12,Sun,afternoon,Columbian Medium Roast Sm,Gourmet brewed coffee,Astoria,Coffee
37.40,17,12,17,12,Sun,afternoon,Brazilian Sm,Organic brewed coffee,Lower Manhattan,Coffee
13.50,3,3,3,13,Sun,afternoon,Scottish Cream Scone ,Scone,Hell's Kitchen,Bakery
22.95,9,7,9,13,Sun,afternoon,Spicy Eye Opener Chai Rg,Brewed Chai tea,Hell's Kitchen,Tea
71.25,19,13,19,13,Sun,afternoon,Latte,Barista Espresso,Astoria,Coffee
18.90,6,6,6,13,Sun,afternoon,Ginger Scone,Scone,Lower Manhattan,Bakery
35.75,11,11,11,13,Sun,afternoon,Hazelnut Biscotti,Biscotti,Astoria,Bakery
49.60,16,13,16,13,Sun,afternoon,Spicy Eye Opener Chai Lg,Brewed Chai tea,Astoria,Tea
28.00,14,8,14,13,Sun,afternoon,Our Old Time Diner Blend Sm,Drip coffee,Hell's Kitchen,Coffee
12.00,4,4,4,13,Sun,afternoon,Traditional Blend Chai Lg,Brewed Chai tea,Lower Manhattan,Tea
24.00,8,5,8,13,Sun,afternoon,Ethiopia Rg,Gourmet brewed coffee,Hell's Kitchen,Coffee
84.00,24,15,24,13,Sun,afternoon,Ethiopia Lg,Gourmet brewed coffee,Hell's Kitchen,Coffee
20.00,8,6,8,13,Sun,afternoon,Lemon Grass Rg,Brewed herbal tea,Lower Manhattan,Tea
51.00,17,11,17,13,Sun,afternoon,Peppermint Lg,Brewed herbal tea,Hell's Kitchen,Tea
12.50,5,3,5,13,Sun,afternoon,English Breakfast Rg,Brewed Black tea,Hell's Kitchen,Tea
12.00,4,3,4,13,Sun,afternoon,Traditional Blend Chai Lg,Brewed Chai tea,Hell's Kitchen,Tea
41.25,11,11,11,13,Sun,afternoon,Chocolate Croissant,Pastry,Lower Manhattan,Bakery
24.50,10,7,10,13,Sun,afternoon,Jamaican Coffee River Sm,Premium brewed coffee,Lower Manhattan,Coffee
51.00,12,7,12,13,Sun,afternoon,Latte Rg,Barista Espresso,Lower Manhattan,Coffee
19.80,9,4,9,14,Sun,afternoon,Brazilian Sm,Organic brewed coffee,Lower Manhattan,Coffee
36.00,12,7,12,14,Sun,afternoon,Ethiopia Rg,Gourmet brewed coffee,Astoria,Coffee
55.25,13,9,13,14,Sun,afternoon,Cappuccino Lg,Barista Espresso,Astoria,Coffee
18.75,5,5,5,14,Sun,afternoon,Chocolate Croissant,Pastry,Hell's Kitchen,Bakery
56.25,15,9,15,14,Sun,afternoon,Sustainably Grown Organic Rg,Hot chocolate,Hell's Kitchen,Drinking Chocolate
62.00,20,11,20,14,Sun,afternoon,Spicy Eye Opener Chai Lg,Brewed Chai tea,Lower Manhattan,Tea
65.00,26,15,26,14,Sun,afternoon,Our Old Time Diner Blend Rg,Drip coffee,Lower Manhattan,Coffee
40.30,13,7,13,14,Sun,afternoon,Jamaican Coffee River Rg,Premium brewed coffee,Astoria,Coffee
42.00,14,9,14,14,Sun,afternoon,English Breakfast Lg,Brewed Black tea,Hell's Kitchen,Tea
45.50,13,8,13,14,Sun,afternoon,Dark chocolate Rg,Hot chocolate,Astoria,Drinking Chocolate
33.25,7,4,7,14,Sun,afternoon,Sustainably Grown Organic Lg,Hot chocolate,Hell's Kitchen,Drinking Chocolate
36.00,12,8,12,14,Sun,afternoon,Peppermint Lg,Brewed herbal tea,Lower Manhattan,Tea
48.00,16,9,16,14,Sun,afternoon,English Breakfast Lg,Brewed Black tea,Lower Manhattan,Tea
18.00,4,4,4,14,Sun,afternoon,Scottish Cream Scone ,Scone,Lower Manhattan,Bakery
15.00,6,5,6,14,Sun,afternoon,English Breakfast Rg,Brewed Black tea,Hell's Kitchen,Tea
37.50,15,9,15,14,Sun,afternoon,Lemon Grass Rg,Brewed herbal tea,Lower Manhattan,Tea
48.00,16,11,16,14,Sun,afternoon,Columbian Medium Roast Lg,Gourmet brewed coffee,Hell's Kitchen,Coffee
40.00,10,7,10,14,Sun,afternoon,Morning Sunrise Chai Lg,Brewed Chai tea,Astoria,Tea
45.00,15,10,15,14,Sun,afternoon,Columbian Medium Roast Lg,Gourmet brewed coffee,Astoria,Coffee
30.00,12,6,12,14,Sun,afternoon,Peppermint Rg,Brewed herbal tea,Lower Manhattan,Tea
56.70,21,13,21,14,Sun,afternoon,Ouro Brasileiro shot,Barista Espresso,Lower Manhattan,Coffee
31.85,13,9,13,14,Sun,afternoon,Jamaican Coffee River Sm,Premium brewed coffee,Hell's Kitchen,Coffee
42.00,14,8,14,14,Sun,afternoon,Earl Grey Lg,Brewed Black tea,Hell's Kitchen,Tea
15.00,5,3,5,14,Sun,afternoon,Lemon Grass Lg,Brewed herbal tea,Lower Manhattan,Tea
22.05,9,8,9,14,Sun,afternoon,Jamaican Coffee River Sm,Premium brewed coffee,Astoria,Coffee
60.00,20,13,20,14,Sun,afternoon,Lemon Grass Lg,Brewed herbal tea,Astoria,Tea
80.75,19,12,19,15,Sun,afternoon,Latte Rg,Barista Espresso,Astoria,Coffee
30.00,8,6,8,15,Sun,afternoon,Latte,Barista Espresso,Hell's Kitchen,Coffee
33.00,15,9,15,15,Sun,afternoon,Brazilian Sm,Organic brewed coffee,Lower Manhattan,Coffee
36.00,12,8,12,15,Sun,afternoon,Lemon Grass Lg,Brewed herbal tea,Astoria,Tea
